Ref.No,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Y
22203,320000,2,1,2,27,1,2,2,2,2,2,43243,42537,41370,40694,1
1288,470000,1,2,1,41,-2,-2,-2,-2,-2,-1,13780,12242,32463,20621,0
11822,20000,1,2,2,25,1,2,0,0,0,0,20415,18266,18921,19297,0
15085,80000,1,3,1,41,0,0,0,0,0,-1,76015,77582,60311,62471,1
6192,30000,1,1,2,30,1,-2,-2,-2,-2,-2,0,0,0,0,1
12894,320000,2,2,1,39,0,0,0,0,0,0,147440,137938,131816,120761,0
2279,50000,2,3,1,37,2,0,0,0,0,0,38527,39609,40352,41183,1
1282,360000,1,1,2,34,1,-2,-2,-2,-2,-1,0,0,0,0,0
13334,50000,2,1,1,25,0,0,0,0,2,0,11324,11811,13008,12540,0
15251,30000,2,2,1,45,2,0,0,0,0,0,31548,30226,31237,13511,0
12165,130000,2,3,1,41,0,0,0,0,0,0,131728,132063,128599,131454,0
9895,270000,2,2,1,42,0,0,0,0,0,0,225245,211517,165608,223292,0
18930,200000,2,1,1,30,-2,-2,-2,-2,-2,-2,4833,6370,2342,810,0
16828,150000,1,1,1,43,-2,-2,-2,-2,-1,-1,1000,0,0,1522,0
16492,50000,1,2,2,22,0,0,2,0,0,0,51083,50043,98450,48689,0
3785,30000,1,1,2,32,0,0,2,0,0,0,29250,30496,29702,28839,0
14665,30000,2,2,2,23,0,0,0,0,0,0,12775,13864,14927,15378,0
18146,260000,1,2,2,31,0,0,0,0,0,0,3113,3117,2924,2784,0
4376,60000,1,3,1,31,1,2,0,0,0,0,69311,60059,54851,38863,1
17544,20000,2,2,1,40,0,0,0,0,-1,-1,10470,10186,9936,10790,0
18421,40000,2,2,2,24,2,0,0,0,0,0,19012,20018,21047,22360,1
23940,50000,1,2,2,27,1,2,0,0,0,0,47568,46482,44546,40745,1
1273,370000,2,1,1,53,-1,-1,-1,-1,-1,0,21160,8153,12094,30751,0
4811,300000,2,1,2,31,0,0,-1,-1,0,0,60700,33843,5045,10288,0
8334,360000,1,1,1,44,0,0,0,0,0,0,333549,342782,340216,344545,0
15711,270000,1,1,1,45,1,-1,-1,-1,-1,-1,0,278,608,494,0
16811,140000,1,3,1,38,0,0,0,0,0,0,138329,138072,136377,106241,0
13816,130000,1,1,2,43,0,0,0,0,0,0,130874,132743,131862,101971,0
20565,50000,1,3,2,25,0,0,0,0,0,0,35227,36236,21068,18132,0
9594,20000,2,1,2,26,2,2,2,2,2,2,300,300,300,300,1
22094,80000,2,1,2,28,1,-2,-2,-2,-2,-2,0,0,0,0,1
9479,400000,2,1,1,35,-2,-2,-2,-2,-2,-1,10043,17883,9322,15693,0
21812,20000,2,2,2,24,3,2,3,2,3,2,17690,19102,19502,20881,1
21541,30000,2,2,2,22,0,0,0,0,0,0,19502,8999,11797,11972,0
10636,90000,2,2,2,24,0,0,0,0,-2,-2,80699,68100,33434,0,0
9923,60000,1,1,1,38,2,2,2,0,0,0,59310,60482,58748,49375,0
22717,240000,2,2,1,36,0,0,0,0,0,0,214122,217850,212593,180867,0
23621,100000,2,5,2,34,0,0,0,0,0,-1,91674,91348,87244,23181,0
20834,20000,1,2,1,47,0,0,0,2,2,2,10628,11650,14252,13678,1
8398,100000,2,1,1,40,-1,-1,-1,0,-1,-1,390,390,780,390,0
8188,160000,2,2,1,51,0,0,0,2,0,0,67610,69908,78087,75255,1
18865,130000,2,2,1,28,2,0,0,0,0,-2,98606,100143,50456,50000,0
3344,300000,2,2,1,27,0,0,0,0,0,0,286321,283547,578971,293063,1
1742,180000,1,1,2,33,-1,-1,-1,-1,-1,-1,2217,0,8264,0,0
